"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1995 <= Year >= 2000""]"																																						
	1995	1	16	20	46	52.1	2236		"JAPAN:  SW HONSHU:  KOBE, AWAJI-SHIMA, NISHINOMIYA"	34.583	135.018	22	6.9	11	5502	4			36896	4	100000	4	200000	4			5502	4			36896	4	100000	4	200000	4		
	1995	1	19	15	5	3.4			"COLOMBIA:  BOGOTA, MANIZALES, MIRAFLORES"	5.05	-72.916	17	6.5		7	1				2		2	512	3	20	1	7	1				2		2	512	3	20	1
	1995	2	5	22	51	5.1			"NEW ZEALAND:  NORTH ISLAND; S ISLAND:  CHRISTCHURCH"	-37.759	178.752	21	7.1																									
	1995	2	8	18	40	25.3			"COLOMBIA:  CALI, PEREIRA, ARMENIA, CALARCA"	4.104	-76.622	74	6.4		45	1			400	3	50	4	2000	4			45	1	1		400	3	50	4	2000	4		
	1995	2	23	21	3	1.3			"CYPRUS:  PAPHOS, NICOSIA, ARODHES, PERISTERONA"	35.046	32.279	10	5.9	7	2	1			5	1	4.34	2	70	2	570	3	2	1			5	1	4.34	2	70	2	570	3
	1995	3	19	23	53	14.9			"INDONESIA:  IRIAN JAYA REGION"	-4.183	135.109	33	6.9									1				1								1				1
	1995	4	1	3	49	33.5			"JAPAN:  NIIGATA PREFECTURE, SADO"	37.925	139.186	11	5.4									2																
	1995	4	7	22	6	56.8	2240		"SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO; NIUE"	-15.199	-173.529	21	7.4																									
	1995	4	21	0	34	46	2241		"PHILIPPINES:  SAMAR"	12.059	125.58	21	7.2																									
	1995	4	21	5	17	1.3	2242		"PHILIPPINES:  SAMAR"	12.047	125.92	23	6.8																									
	1995	5	13	8	47	12.7	2244		"GREECE:  GREVENA-KOZANI, THESSALONIKI, YUGOSLAVIA"	40.149	21.695	14	6.6	8					25	1	450	4	12000	4							25	1	450	4	12000	4		
	1995	5	14	11	33	21.1	2245		"INDONESIA:  TIMOR, DILI, MALIANA, MAUBARA"	-8.452	125.049	13	6.9	7													11	1			19	1		1		2		
	1995	5	16	20	12	44.2	2246		"NEW CALEDONIA:  NOUMEA; VANUATU:  PORT-VILA"	-23.008	169.9	20	7.7	3																								
	1995	5	27	13	3	52.6	2247		"RUSSIA:  SAKHALIN IS:  NEFTEGORSK, OKHA, MOSKALVO"	52.629	142.827	11	7.1	9	1989	4			750	3	300	4					1989	4			750	3	300	4				
	1995	6	15	0	15	48.7	2248		"GREECE:  AIYION, ERATINI"	38.401	22.283	14	6.5	7	26	1			60	2	660	4					26	1			60	2	660	4				
	1995	7	11	21	46	39.7			"CHINA: YUNNAN PROVINCE: LANCANG, MENGLIAN; THAILAND"	21.966	99.196	13	6.8		11	1			136	3	36.1	4	100000	4	100000	4	11	1			136	3	36.1	4	100000	4		
	1995	7	21	22	44	4.5			"CHINA:  GANSU, YONGDENG, BAIYIN, DINGXI, JINGTAI"	36.427	103.123	13	5.6		14	1			60	1		3	4500	4			14	1			60	1		3	4500	4		
	1995	7	30	5	11	23.6	2249		"CHILE:  ANTOFAGASTA, CALAMA, MEJILLONES"	-23.34	-70.294	46	8	7	3	1			58	2	1.66	2	115	3			3	1					1.791	2	115	3		
	1995	8	16	10	27	28.6	2250		"PAPUA NEW GUINEA:  RABAUL, KOKOPO, NEW BRITAIN"	-5.799	154.178	30	7.7									1												1				
	1995	9	14	14	4	31.4	2251		"MEXICO:  GUERRERO, OAXACA, PUEBLA, MEXICO CITY"	16.779	-98.597	23	7.4		3	1			100	2		2					3	1			100	2		2				
	1995	10	1	15	57	16.2			"TURKEY:   DINAR, EVCILER"	38.063	30.134	33	6.4	8	95	2			348	3	205.8	4	5100	4			95	2			348	3	205.8	4	5100	4		
	1995	10	3	1	51	23.9			"ECUADOR:  QUITO"	-2.75	-77.881	24	7		2	1			5	1		1	83	2			2	1			5	1		1	83	2		
	1995	10	6	5	23	18.5			"ALASKA:  FAIRBANKS NORTH STAR COUNTY"	65.17	-148.565	9	6									1												1				
	1995	10	6	18	9	45.9			"INDONESIA:  SUMATERA, JAMBI PROVINCE"	-2.045	101.436	33	6.8		84	2			1868	4		4	17600	4			84	2			1868	4		4	17600	4		
	1995	10	9	15	35	53.9	2252		"MEXICO:  JALISCO, MANZANILLO, SAN PATRICIO MELAQUE"	19.055	-104.205	33	8		49	2			200	3		2		2			50	1			200	3		2		2		
	1995	10	18	10	37	26.3	2253		"JAPAN:  RYUKU IS."	27.929	130.175	28	7.1						1	1											1	1		1				
	1995	10	19	2	41	36.1	2254		"JAPAN:  RYUKU IS."	28.094	130.148	20	6.8																									
	1995	10	23	22	46	50.8			"CHINA:  YUNNAN PROVINCE:  WUDING"	26.003	102.227	10	6.2		81	2			800	3	80	4	200	3	200	3	81	2			800	3	80	4	200	3		
	1995	11	1	0	35	32.7	2255		"CHILE:  NEAR CENTRAL COAST"	-28.906	-71.417	20	6.7																									
	1995	11	22	4	15	11.9	2256		"EGYPT:  NUWAYBI; SAUDI ARABIA; ISRAEL; JORDAN"	28.826	34.799	10	7.2	8	11	1			47	1		2					11	1			47	1		2		1		
	1995	12	3	18	1	8.9	2257		"RUSSIA:  KURIL ISLANDS:  ITURUP, MATUA, KUNASHIR"	44.663	149.3	33	7.9	5																								
	1996	1	1	8	5	10.8	2259		"INDONESIA:  SULAWESI: MINAHASSA PENINSULA, TOLITOLI"	0.729	119.931	24	7.9	6								1					9	1			63	2	1.2	2	400	3		
	1996	2	3	11	14	20.1			"CHINA:  YUNNAN PROVINCE:  LIJIANG"	27.291	100.276	11	6.6	9	322	3			17057	4	506	4	959000	4	959000	4	322	3			17057	4	506	4	959000	4		
	1996	2	17	5	59	30.5	2260		"INDONESIA:  NEW GUINEA:  IRIAN JAYA:  BIAK, SUPIORI"	-0.891	136.952	33	8.2		54	2			423	3	4.2	2	5043	4			164	3			423	3	4.2	2	5043	4		
	1996	2	21	12	51	1.3	2261		"PERU:  NORTHERN:  CHIMBOTE, CALLAO"	-9.593	-79.587	10	7.5	4													12	1			57	2			15	1	22	1
	1996	2	25	3	8	15.8	2262		"MEXICO:  OFF COAST OF GUERRERO"	15.978	-98.07	21	7.1																									
	1996	3	19	15	0	26			"CHINA:  S. XINJIANG:   ARTUX, JIASHI, BACHU, KASHI"	39.993	76.696	28	6.3		24	1			128	3	24	3	15314	4			24	1			128	3	24	3	15314	4		
	1996	3	28	23	3	49.8			"ECUADOR:  COTOPAXI, PASTAZA, TUNGURAHUA, AMBATO"	-1.036	-78.737	33	5.9	6	27	1			100	2	7	3		3		3	27	1			100	2	7	3		3		3
	1996	4	29	14	40	41			"SOLOMON ISLANDS:  BOUGAINVILLE ISLAND"	-6.518	154.999	44	7.2		1	1						2		3			1	1						2		3		
	1996	5	3	3	32	47.1			"CHINA:  NEI MONGOL:  BAOTOU, BEIJING, HOHHOT"	40.774	109.661	26	6	8	23	1			330	3		4					23	1			330	3		4				
